1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
2,31
2,32
2,33
2,34
2,35
2,36
2,37
2,38
2,39
2,40
3,41
3,42
3,43
3,44
3,45
3,46
3,47
3,48
3,49
3,50
4,51
4,52
4,53
4,54
4,55
4,56
4,57
4,58
4,59
4,60
5,61
5,62
5,63
5,64
5,65
6,66
6,67
6,68
6,69
6,70
7,71
7,72
7,73
7,74
7,75
8,76
8,77
8,78
8,79
8,80
9,81
9,82
9,83
9,84
9,85
10,86
10,87
10,88
10,89
10,90
11,91
11,92
11,93
11,94
11,95
12,96
12,97
12,98
12,99
12,100
13,101
13,102
13,103
13,104
13,105
14,106
14,107
14,108
14,109
14,110
15,111
15,112
15,113
15,114
15,115
16,116
16,117
16,118
16,119
16,120
17,121
17,122
17,123
17,124
17,125
